"edge","from","to","weight_ref","weight_attcomposite","abs_diff"
"ATTEND__to__ATTEND","ATTEND","ATTEND",0.188,0.216,0.028
"ATTEND__to__ENGAGE","ATTEND","ENGAGE",0.028,-0.026,0.054
"ATTEND__to__PIJN","ATTEND","PIJN",0.038,0.054,0.016
"ATTEND__to__THREAT","ATTEND","THREAT",0.045,0.048,0.003
"ENGAGE__to__ATTEND","ENGAGE","ATTEND",0,-0.006,0.006
"ENGAGE__to__ENGAGE","ENGAGE","ENGAGE",0.149,0.15,0.001
"ENGAGE__to__PIJN","ENGAGE","PIJN",0.003,0.004,0.001
"ENGAGE__to__THREAT","ENGAGE","THREAT",-0.001,-0.001,0
"PIJN__to__ATTEND","PIJN","ATTEND",0.083,0.088,0.00499999999999999
"PIJN__to__ENGAGE","PIJN","ENGAGE",-0.048,-0.03,0.018
"PIJN__to__PIJN","PIJN","PIJN",0.344,0.338,0.00599999999999995
"PIJN__to__THREAT","PIJN","THREAT",0.043,0.04,0.003
"THREAT__to__ATTEND","THREAT","ATTEND",0.125,0.128,0.003
"THREAT__to__ENGAGE","THREAT","ENGAGE",-0.014,0.004,0.018
"THREAT__to__PIJN","THREAT","PIJN",0.096,0.088,0.00800000000000001
"THREAT__to__THREAT","THREAT","THREAT",0.297,0.294,0.003
