"edge","from","to","weight","ci_lo","ci_hi","prop_sign_consistent"
"ATTEND__to__ATTEND","ATTEND","ATTEND",0.188,0.143,0.235225,1
"ATTEND__to__ENGAGE","ATTEND","ENGAGE",0.028,-0.017025,0.066075,0.835
"ATTEND__to__PIJN","ATTEND","PIJN",0.038,0.003,0.0812,0.98
"ATTEND__to__THREAT","ATTEND","THREAT",0.045,0.008975,0.084,0.995
"ENGAGE__to__ATTEND","ENGAGE","ATTEND",0,-0.023,0.024025,0.015
"ENGAGE__to__ENGAGE","ENGAGE","ENGAGE",0.149,0.10995,0.198,1
"ENGAGE__to__PIJN","ENGAGE","PIJN",0.003,-0.020075,0.024,0.545
"ENGAGE__to__THREAT","ENGAGE","THREAT",-0.001,-0.017025,0.01405,0.52
"PIJN__to__ATTEND","PIJN","ATTEND",0.083,0.04695,0.121025,1
"PIJN__to__ENGAGE","PIJN","ENGAGE",-0.048,-0.1,-0.003,0.98
"PIJN__to__PIJN","PIJN","PIJN",0.344,0.295,0.386025,1
"PIJN__to__THREAT","PIJN","THREAT",0.043,0.018,0.068025,1
"THREAT__to__ATTEND","THREAT","ATTEND",0.125,0.077,0.182,1
"THREAT__to__ENGAGE","THREAT","ENGAGE",-0.014,-0.0851,0.04205,0.7
"THREAT__to__PIJN","THREAT","PIJN",0.096,0.051,0.1441,1
"THREAT__to__THREAT","THREAT","THREAT",0.297,0.237975,0.3471,1
