"edge","from","to","weight_ref","weight_detrended","abs_diff"
"ATTEND__to__ATTEND","ATTEND","ATTEND",0.188,0.154,0.034
"ATTEND__to__ENGAGE","ATTEND","ENGAGE",0.028,0.021,0.007
"ATTEND__to__PIJN","ATTEND","PIJN",0.038,0.028,0.01
"ATTEND__to__THREAT","ATTEND","THREAT",0.045,0.056,0.011
"ENGAGE__to__ATTEND","ENGAGE","ATTEND",0,-0.002,0.002
"ENGAGE__to__ENGAGE","ENGAGE","ENGAGE",0.149,0.128,0.021
"ENGAGE__to__PIJN","ENGAGE","PIJN",0.003,0,0.003
"ENGAGE__to__THREAT","ENGAGE","THREAT",-0.001,-0.002,0.001
"PIJN__to__ATTEND","PIJN","ATTEND",0.083,0.082,0.001
"PIJN__to__ENGAGE","PIJN","ENGAGE",-0.048,-0.04,0.008
"PIJN__to__PIJN","PIJN","PIJN",0.344,0.314,0.03
"PIJN__to__THREAT","PIJN","THREAT",0.043,0.049,0.006
"THREAT__to__ATTEND","THREAT","ATTEND",0.125,0.113,0.012
"THREAT__to__ENGAGE","THREAT","ENGAGE",-0.014,-0.007,0.007
"THREAT__to__PIJN","THREAT","PIJN",0.096,0.081,0.015
"THREAT__to__THREAT","THREAT","THREAT",0.297,0.259,0.038
