"from","to","weight","SE","P","ran_SD","edge"
"PIJN","PIJN",0.314,0.024,0,0.144,"PIJN__to__PIJN"
"PIJN","THREAT",0.049,0.016,0.002,0,"PIJN__to__THREAT"
"PIJN","ATTEND",0.082,0.02,0,0.08,"PIJN__to__ATTEND"
"PIJN","ENGAGE",-0.04,0.021,0.06,0.09,"PIJN__to__ENGAGE"
"THREAT","PIJN",0.081,0.021,0,0.096,"THREAT__to__PIJN"
"THREAT","THREAT",0.259,0.026,0,0.15,"THREAT__to__THREAT"
"THREAT","ATTEND",0.113,0.022,0,0.096,"THREAT__to__ATTEND"
"THREAT","ENGAGE",-0.007,0.019,0.705,0.047,"THREAT__to__ENGAGE"
"ATTEND","PIJN",0.028,0.017,0.099,0.05,"ATTEND__to__PIJN"
"ATTEND","THREAT",0.056,0.019,0.004,0.083,"ATTEND__to__THREAT"
"ATTEND","ATTEND",0.154,0.024,0,0.135,"ATTEND__to__ATTEND"
"ATTEND","ENGAGE",0.021,0.017,0.218,0.011,"ATTEND__to__ENGAGE"
"ENGAGE","PIJN",0,0.015,0.98,0.064,"ENGAGE__to__PIJN"
"ENGAGE","THREAT",-0.002,0.013,0.867,0,"ENGAGE__to__THREAT"
"ENGAGE","ATTEND",-0.002,0.016,0.899,0.075,"ENGAGE__to__ATTEND"
"ENGAGE","ENGAGE",0.128,0.021,0,0.129,"ENGAGE__to__ENGAGE"
