"from","to","weight","SE","P"
"PIJN","PIJN",0.343,0.026,0
"PIJN","FEAR",0.005,0.014,0.726
"PIJN","CATAS",0.08,0.017,0
"PIJN","ATTEND",0.079,0.019,0
"PIJN","ENGAGE",-0.05,0.026,0.057
"FEAR","PIJN",0.044,0.023,0.05
"FEAR","FEAR",0.223,0.025,0
"FEAR","CATAS",0.101,0.023,0
"FEAR","ATTEND",0.049,0.023,0.03
"FEAR","ENGAGE",0.005,0.026,0.844
"CATAS","PIJN",0.071,0.019,0
"CATAS","FEAR",0.074,0.022,0.001
"CATAS","CATAS",0.2,0.025,0
"CATAS","ATTEND",0.087,0.023,0
"CATAS","ENGAGE",-0.014,0.03,0.635
"ATTEND","PIJN",0.031,0.018,0.086
"ATTEND","FEAR",0.039,0.018,0.027
"ATTEND","CATAS",0.041,0.019,0.035
"ATTEND","ATTEND",0.19,0.026,0
"ATTEND","ENGAGE",0.032,0.024,0.171
"ENGAGE","PIJN",0,0.012,0.998
"ENGAGE","FEAR",-0.01,0.009,0.274
"ENGAGE","CATAS",0.007,0.01,0.476
"ENGAGE","ATTEND",0,0.012,0.999
"ENGAGE","ENGAGE",0.15,0.022,0
