measure,run_length
Threat,1
Threat,1
Threat,1
Threat,1
Threat,3
Threat,1
Threat,2
Threat,1
Threat,1
Threat,1
Threat,1
Threat,2
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Threat,1
Attention,1
Attention,2
Attention,1
Attention,1
Attention,2
Attention,2
Attention,1
Attention,1
Attention,2
Attention,1
Attention,3
Attention,1
Attention,4
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,3
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Attention,1
Engagement,1
Engagement,2
Engagement,1
Engagement,4
Engagement,1
Engagement,1
Engagement,2
Engagement,1
Engagement,3
Engagement,3
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,5
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,2
Engagement,4
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,2
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Engagement,1
Efficacy,1
Efficacy,5
Efficacy,2
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,2
Efficacy,1
Efficacy,1
Efficacy,3
Efficacy,1
Efficacy,3
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,2
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,2
Efficacy,2
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,3
Efficacy,1
Efficacy,2
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,2
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,2
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,2
Efficacy,2
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,2
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,2
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Efficacy,1
Valence,1
Valence,2
Valence,3
Valence,2
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,2
Valence,1
Valence,1
Valence,1
Valence,2
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,3
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,2
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,2
Valence,5
Valence,1
Valence,1
Valence,2
Valence,2
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,2
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
Valence,1
